Date,Ville source,Pays source,Ville destination,Pays destination,Distance,Mode de transport,Objet mission
02/03/2019,"Paris","France","New York","USA",200,"train courte distance","Client 0B778"
02/03/2019,"Paris","France","New York","USA",200,"train courte distance","Client 0B778"
02/03/2018,"Paris","France","New York","USA",200,"Tram moyenne ville","Client 0B778"
02/03/2018,"Paris","France","New York","USA",200,"Tram moyenne ville","Client 0B778"
01/01/2021,"Lille","France","Paris","France",250,"TGV","Client 0B775"
02/03/2021,"Paris","France","Lille","France",250,"TGV","Client 0B775"
02/03/2021,"Paris","France","New York","USA",250,"TGV","Client 0B778"
02/03/2021,"Paris","France","New York","USA",200,"RER Transilien","Client 0B778"
02/03/2021,"Paris","France","New York","USA",200,"RER Transilien","Client 0B778"
02/03/2021,"Paris","France","New York","USA",200,"RER Transilien","Client 0B778"


